"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 16 11:33:21 UTC 2025","Fri May 16 11:33:22 UTC 2025","366","API Test Suite","Authors Tests","com.api.test.tests.AuthorTests","com.api.test.tests.AuthorTests","testGetAuthorByIdNotFound","Get an author by NON-Existent ID",""
"unknown","Fri May 16 11:33:22 UTC 2025","Fri May 16 11:33:22 UTC 2025","0","API Test Suite","Books Tests","com.api.test.tests.BooksTests","com.api.test.tests.BooksTests","testDeleteBookNonExistentID","Delete Book with NON-Existent ID",""
"passed","Fri May 16 11:33:20 UTC 2025","Fri May 16 11:33:21 UTC 2025","611","API Test Suite","Authors Tests","com.api.test.tests.AuthorTests","com.api.test.tests.AuthorTests","testGetAllAuthors","Get all authors",""
"unknown","Fri May 16 11:33:22 UTC 2025","Fri May 16 11:33:22 UTC 2025","0","API Test Suite","Books Tests","com.api.test.tests.BooksTests","com.api.test.tests.BooksTests","testUpdateBookNonExistentID","Update Book with NON-Existent ID",""
"unknown","Fri May 16 11:33:17 UTC 2025","Fri May 16 11:33:17 UTC 2025","0","API Test Suite","Authors Tests","com.api.test.tests.AuthorTests","com.api.test.tests.AuthorTests","testDeleteAuthorWithNonExistentID","Delete author with NON-existent ID",""
"unknown","Fri May 16 11:33:22 UTC 2025","Fri May 16 11:33:22 UTC 2025","0","API Test Suite","Books Tests","com.api.test.tests.BooksTests","com.api.test.tests.BooksTests","testUpdateBookWithPageCount","Update Book with different page count values",""
"unknown","Fri May 16 11:33:22 UTC 2025","Fri May 16 11:33:22 UTC 2025","0","API Test Suite","Books Tests","com.api.test.tests.BooksTests","com.api.test.tests.BooksTests","testDeleteBookByID","Delete book by ID",""
"passed","Fri May 16 11:33:22 UTC 2025","Fri May 16 11:33:23 UTC 2025","765","API Test Suite","Books Tests","com.api.test.tests.BooksTests","com.api.test.tests.BooksTests","testCreateBookDuplicateId","Create a book with duplicated ID",""
"unknown","Fri May 16 11:33:17 UTC 2025","Fri May 16 11:33:17 UTC 2025","1","API Test Suite","Authors Tests","com.api.test.tests.AuthorTests","com.api.test.tests.AuthorTests","updateAuthorNonExistentID","Update Author with NON-existent id",""
"passed","Fri May 16 11:33:25 UTC 2025","Fri May 16 11:33:25 UTC 2025","365","API Test Suite","Books Tests","com.api.test.tests.BooksTests","com.api.test.tests.BooksTests","testGetBookByIdNotFound","Get a book by NON-Existent ID",""
"skipped","Fri May 16 11:33:22 UTC 2025","Fri May 16 11:33:22 UTC 2025","1","API Test Suite","Authors Tests","com.api.test.tests.AuthorTests","com.api.test.tests.AuthorTests","updateAuthorInvalidDataType","Update Author with invalid data type ",""
"passed","Fri May 16 11:33:21 UTC 2025","Fri May 16 11:33:21 UTC 2025","382","API Test Suite","Authors Tests","com.api.test.tests.AuthorTests","com.api.test.tests.AuthorTests","testGetAuthorById","Get an author by ID",""
"passed","Fri May 16 11:33:23 UTC 2025","Fri May 16 11:33:24 UTC 2025","381","API Test Suite","Books Tests","com.api.test.tests.BooksTests","com.api.test.tests.BooksTests","testCreateBookValid","Create a Book with valid data",""
"passed","Fri May 16 11:33:24 UTC 2025","Fri May 16 11:33:25 UTC 2025","684","API Test Suite","Books Tests","com.api.test.tests.BooksTests","com.api.test.tests.BooksTests","testGetAllBooks","Get all books",""
"passed","Fri May 16 11:33:24 UTC 2025","Fri May 16 11:33:24 UTC 2025","390","API Test Suite","Books Tests","com.api.test.tests.BooksTests","com.api.test.tests.BooksTests","testCreateWithInvalidDateFormat","Create a book invalid date format",""
"passed","Fri May 16 11:33:26 UTC 2025","Fri May 16 11:33:27 UTC 2025","718","API Test Suite","Books Tests","com.api.test.tests.BooksTests","com.api.test.tests.BooksTests","testUpdateBook","Update Book with valid data",""
"passed","Fri May 16 11:33:22 UTC 2025","Fri May 16 11:33:22 UTC 2025","411","API Test Suite","Authors Tests","com.api.test.tests.AuthorTests","com.api.test.tests.AuthorTests","testGetAuthorByInvalidIdDataType","Get an author by Invalid DataType Id",""
"passed","Fri May 16 11:33:24 UTC 2025","Fri May 16 11:33:24 UTC 2025","397","API Test Suite","Books Tests","com.api.test.tests.BooksTests","com.api.test.tests.BooksTests","testDeleteBookInvalidDataTypeID","Delete Book with invalid Data type ID",""
